proposed_id,site_id,title,category,level,service_level,existing_id,existing_title,match_status,match_score,recommended_action,review_status,adjustment_needed,agency,processing_time,fee,form_codes,attachment_titles,online_submission_url,source_url,content_hash,risk_flags,final_decision,reviewer_note
tthc_phutho_xa_1365-19,1365-19,Cấp đổi giấy chứng nhận căn cước cấp xã,"Cấp, quản lý căn cước",Cấp Xã,N/A,,,new,0.120,create_new,ready_for_approval,Website không công bố mức độ dịch vụ công; chuẩn hóa thành N/A.,Công an cấp xã,Không quá 07 ngày làm việc.,không thu lệ phí,N/A,1. Mẫu DC02 Phiếu đề nghị giải quyết thủ tục về căn cước sửa.doc | 1. Mẫu CC01 Phiếu thu nhận thông tin căn cước.doc,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-doi-giay-chung-nhan-can-cuoc-cap-xa-1365-19,dc323850d7b1f98f0072a22d1416c39f54820cf9632289e3d2cb9c735e8015ac,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_291-19,291-19,Cấp đổi thẻ căn cước cấp xã,"Cấp, quản lý căn cước",Cấp Xã,Một phần,,,new,0.070,create_new,ready_for_approval,,Công an cấp xã,Không quá 07 ngày làm việc.,"Cấp đổi thẻ căn cước đối với các trường hợp quy định tại khoản 1 Điều 24 Luật Căn cước: 50.000 đồng/thẻ căn cước;
Kể từ ngày 21/10/2024 đến hết ngày 31/12/2024, mức thu lệ phí cấp đổi, cấp lại thẻ căn cước bằng 50% mức thu lệ phí quy định.
Kể từ ngày 01/01/2025 đến hết ngày 31/12/2025, mức thu lệ phí khi công dân nộp hồ sơ cấp đổi, cấp lại thẻ căn cước theo hình thức trực tuyển bằng 50% mức thu lệ phí quy định.",N/A,1. Mẫu CC01 Phiếu thu nhận thông tin căn cước.doc | 1. Mẫu DC02 Phiếu đề nghị giải quyết thủ tục về căn cước sửa.doc,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-doi-the-can-cuoc-cap-xa-291-19,41150df6065a873017a1bc2030bf9cf34622f50bd4812b3254216332da4efb1a,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_1366-19,1366-19,Cấp lại giấy chứng nhận căn cước cấp xã,"Cấp, quản lý căn cước",Cấp Xã,N/A,,,new,0.120,create_new,ready_for_approval,Website không công bố mức độ dịch vụ công; chuẩn hóa thành N/A.,Công an cấp xã,Không quá 07 ngày làm việc.,không thu lệ phí,N/A,N/A,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-lai-giay-chung-nhan-can-cuoc-cap-xa-1366-19,732e2ddc8e265e3c8165bbfff2327ca796175bf1560ca8463f7d03ad102946e9,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_292-19,292-19,Cấp lại thẻ Căn cước cấp xã,"Cấp, quản lý căn cước",Cấp Xã,Toàn trình,,,new,0.070,create_new,ready_for_approval,,Công an cấp xã,Không quá 07 ngày làm việc.,"Cấp lại thẻ căn cước đối với các trường hợp quy định tại khoản 2 Điều 24 Luật Căn cước: 70.000 đồng/thẻ căn cước.
Kể từ ngày 21/10/2024 đến hết ngày 31/12/2024, mức thu lệ phí cấp đổi, cấp lại thẻ căn cước bằng 50% mức thu lệ phí quy định.
Kể từ ngày 01/01/2025 đến hết ngày 31/12/2025, mức thu lệ phí khi công dân nộp hồ sơ cấp đổi, cấp lại thẻ căn cước theo hình thức trực tuyển bằng 50% mức thu lệ phí quy định.",N/A,1. Mẫu CC01 Phiếu thu nhận thông tin căn cước.doc | 1. Mẫu DC02 Phiếu đề nghị giải quyết thủ tục về căn cước sửa.doc,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-lai-the-Can-cuoc-cap-xa-292-19,5f7ceae4890743cd111319cc71e5d5ca8aad3cb35f8ee1426e214e7adb769d29,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_1362-19,1362-19,Cấp thẻ căn cước cho người dưới 14 tuổi cấp xã,"Cấp, quản lý căn cước",Cấp Xã,Một phần,,,new,0.088,create_new,ready_for_approval,,Công an cấp xã,Không quá 07 ngày làm việc.,Miễn phí.,N/A,1. Mẫu CC01 Phiếu thu nhận thông tin căn cước.doc | 1. Mẫu DC02 Phiếu đề nghị giải quyết thủ tục về căn cước sửa.doc,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-the-can-cuoc-cho-nguoi-duoi-14-tuoi-cap-xa-1362-19,a2c2b6f94ffaea64bb97300c64506afdca1975f52549a83f06b663f01ef608df,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_289-19,289-19,Cấp thẻ căn cước cho người từ đủ 14 tuổi trở lên cấp xã,"Cấp, quản lý căn cước",Cấp Xã,Một phần,,,new,0.111,create_new,ready_for_approval,,Công an cấp xã,Không quá 07 ngày làm việc.,Không.,N/A,1. Mẫu DC01 Phiếu thu thập thông tin dân cư.docx | 1. Mẫu DC02 Phiếu đề nghị giải quyết thủ tục về căn cước sửa.doc | 1. Mẫu CC01 Phiếu thu nhận thông tin căn cước.doc,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-the-can-cuoc-cho-nguoi-tu-du-14-tuoi-tro-len-289-19,c11dc9d3e45143d877bc974773df3f9736b54cc351418dc9dbcb56ae2601dac8,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_1368-19,1368-19,Điều chỉnh thông tin trong Cơ sở dữ liệu quốc gia về dân cư theo đề nghị của công dân cấp xã,"Cấp, quản lý căn cước",Cấp Xã,N/A,,,new,0.188,create_new,ready_for_approval,Website không công bố mức độ dịch vụ công; chuẩn hóa thành N/A.,Công an cấp xã,02 ngày làm việc kể từ khi tiếp nhận hồ sơ (không tính thời gian chuyển hồ sơ từ cơ quan khác đến Công an cấp xã nơi công dân cư trú).,Chưa quy định.,N/A,1. Mẫu DC02 Phiếu đề nghị giải quyết thủ tục về căn cước sửa.doc,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Dieu-chinh-thong-tin-trong-Co-so-du-lieu-quoc-gia-1368-19,8e12ba3ef534fd5a45ac81af48ca30890bf5e093e765c318be79f6e23c668db5,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_2410-19,2410-19,"Điều chỉnh thông tin trong Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu căn cước theo đề nghị của người gốc Việt Nam chưa xác định được quốc tịch cấp xã","Cấp, quản lý căn cước",Cấp Xã,N/A,,,new,0.200,create_new,ready_for_approval,Website không công bố mức độ dịch vụ công; chuẩn hóa thành N/A.,Công an cấp xã,không quá 05 ngày làm việc.,Không thu lệ phí.,N/A,N/A,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Dieu-chinh-thong-tin-trong-Co-so-du-lieu-quoc-gia-2410-19,81ab125737d9d34c5af2638a8f67ef651a5504ce9252e20f9edb30935e9f8206,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_281-19,281-19,Khai thác thông tin công dân trong Cơ sở dữ liệu căn cước cấp xã,"Cấp, quản lý căn cước",Cấp Xã,N/A,,,new,0.185,create_new,ready_for_approval,Website không công bố mức độ dịch vụ công; chuẩn hóa thành N/A.,Công an cấp xã,02 ngày làm việc.,Chưa quy định.,N/A,1. Mẫu DC02 Phiếu đề nghị giải quyết thủ tục về căn cước sửa.doc,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Khai-thac-thong-tin-cong-dan-trong-Co-so-du-lieu-281-19,390631b92c596afee64968f8abd45cdcd3d90b8dd5fe953c3ca2620f6c6719bf,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
tthc_phutho_xa_282-19,282-19,Khai thác thông tin công dân trong Cơ sở dữ liệu quốc gia về dân cư cấp xã,"Cấp, quản lý căn cước",Cấp Xã,N/A,,,new,0.172,create_new,ready_for_approval,Website không công bố mức độ dịch vụ công; chuẩn hóa thành N/A.,"Công an xã, phường, thị trấn",02 ngày làm việc.,"Áp dụng mức thu theo mức phí quy định tại Thông tư số 48/2022/TT-BTC ngày 03/8/2022 của Bộ Tài chính quy định mức thu, chế độ thu, nộp, quản lý và sử dụng phí khai thác và sử dụng thông tin trong Cơ sở dữ liệu quốc gia về dân cư.",N/A,1. Mẫu DC02 Phiếu đề nghị giải quyết thủ tục về căn cước sửa.doc,https://dichvucong.bocongan.gov.vn/?home=1,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Khai-thac-thong-tin-cong-dan-trong-Co-so-du-lieu-282-19,ca8f8a54403580702cd837c1cefa79817bc1f92094f6436d4ed7a6b5ab630a56,,approve,Người dùng duyệt thủ tục cấp xã hiện hành ngày 2026-07-15.
